CAMPAIGN_NAME,ASG_GROUPING_TITLE,ARTIST_DISPLAY_NAME,index
[DS] Margo de Oz - Bandera Negra - PO - JUL 2021 (México),Bandera Negra,Mago De Oz,63214
(Cole Swindell - Single Saturday Night) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA],Single Saturday Night,Cole Swindell,63224
(Robyn Ottolini - F-150 OMV) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,F-150,Robyn Ottolini,63234
(Dan + Shay - Glad You Exist (Lyric)) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Glad You Exist,Dan + Shay,63244
(Ingrid Andress - Lady Like OMV) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA],Lady Like,Ingrid Andress,63254
(Kenny Chesney - Knowing You) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Knowing You,Kenny Chesney,63264
(Drew Parker - While You're Gone OMV) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,While You're Gone,Drew Parker,63274
(Ian Munsick - Long Haul OMV) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Long Haul,Ian Munsick,63284
(Cody Johnson - Longer Than She Did ) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Longer Than She Did,Cody Johnson,63294
(Zac Brown Band - Same Boat) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Same Boat,Zac Brown Band,63304
(Shy Carter - Beer With My Friends) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Beer With My Friends,Shy Carter,63314
(Morgan Evans - Love Is Real Lyric) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Love Is Real,Morgan Evans,63324
(Brian Kelley - Boat Names OMV) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Boat Names,Brian Kelley,63334
(Gabby Barrett Footprints on the Moon) WrNa -Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Footprints on the Moon,Gabby Barrett,63344
(Tyler Braden - Ways To Miss You) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Ways To Miss You,Tyler Braden,63354
(Michael Ray - Whiskey and Rain OMV) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Whiskey and Rain,Michael Ray,63364
(Blake Shelton - Minimum Wage OMV)WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN [USA],Minimum Wage,Blake Shelton,63374
(Cody Johnson - Til You Can't Lyric) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,'Til You Can't,Cody Johnson,63384
(Charlie Worsham - Half Drunk OMV) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Half Drunk,Charlie Worsham,63394
(Walker County - Bits & Pieces OMV) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Bits & Pieces,Walker County,63404
Atln - Caspr - Duct Tape Lips - R - 0062L00000VPDLtQAP [Music Video],Duct Tape Lips,Caspr,63414
Atlantic: Q3 2021 Always On - Hayley Kiyoko [Shopping],runaway,Hayley Kiyoko,63424
Atlantic: Q3 2021 Always On - Grouplove [Shopping],Ways To Go,Grouplove,63434
Atlantic: Q3 2021 Always On - Bruno Mars [Shopping],Play,Mars,63444
Atlantic: Q3 2021 Always On - Kehlani [Shopping],Already Won,Kehlani,63454
Atlantic: Q3 2021 Always On - A Boogie Wit Da Hoodie [Shopping],Always on Time,A Boogie Wit da Hoodie,63464
Atlantic: Q3 2021 Always On - Quando Rondo [Shopping],21,Quando Rondo,63474
Atlantic: Q3 2021 Always On - Wiz Khalifa [Shopping],Hope,Wiz Khalifa,63484
Atlantic: Q3 2021 Always On - Shinedown [Shopping],One,Shinedown,63494
Atlantic: Q3 2021 Always On - Hayley Williams [Shopping],Le 7,IAM,63504
Atlantic: Q3 2021 Always On - Lizzo [Shopping],On Life,Mala,63514
[Shopping] Elektra: Q3 2021 Always On - Trivium,Efekt,Ektor,63524
[Shopping] Elektra: Q3 2021 Always On - Anderson East,Anger,Vader,63534
[Shopping] Elektra: Q3 2021 Always On - LŪN,Efekt,Ektor,63544
[Shopping] Elektra: Q3 2021 Always On - grandson,War,grandson,63554
[Shopping] Elektra: Q3 2021 Always On - Masked Wolf,Wolf,Baked,63564
Warner Records: Q3 2021 Always On - Green Day [Shopping],Wonder,Cor,63574
Warner Records: Q3 2021 Always On - Michael Buble [Shopping],Always On My Mind,Michael Bublé,63584
Warner Records: Q3 2021 Always On - NLE Choppa [Shopping],Galaxy,War,63594
Warner Records: Q3 2021 Always On - Gorillaz [SEARCH],Go,Sea,63604
Warner Records: Q3 2021 Always On - Ashnikko [SEARCH],Cry,Ashnikko,63614
Warner Records: Q3 2021 Always On - Neil Young [SEARCH],Arc,Neil Young,63624
Warner Records: Q3 2021 Always On - My Chemical Romance [SEARCH],War,WAR,63634
Warner Records: Q3 2021 Always On - Neil Young [Shopping],Walk On,Neil Young,63644
Warner Records: Q3 2021 Always On - Muse [Shopping],War,WAR,63654
Warner Records: Q3 2021 Always On - Kid Rock [Shopping],Care,Kid Rock,63664
Warner Records: Q3 2021 Always On - Ali Gatie [Shopping],War,War,63674
Warner Records: Q3 2021 Always On - Green Day [SEARCH],Amy,Green Day,63684
Warner Records: Q3 2021 Always On - Goo Goo Dolls [SEARCH],Go,Sea,63694
Warner Records: Q3 2021 Always On - Michael Buble [SEARCH],Always On My Mind,Michael Bublé,63704
Warner Records: Q3 2021 Always On - NLE Choppa [SEARCH],War,War,63714
Warner Records: Q3 2021 Always On - Muse [SEARCH],War,WAR,63724
Warner Records: Q3 2021 Always On - Kid Rock [SEARCH],Care,Kid Rock,63734
Warner Records: Q3 2021 Always On - Ali Gatie [SEARCH],Wonder,Cor,63744
Warner Records: Q3 2021 Always On - Goo Goo Dolls [Shopping],Wonder,Cor,63754
Warner Records: Q3 2021 Always On - Gorillaz [Shopping],Dare,Gorillaz,63764
[DS] Flavio - Álbum Flavio - ALB - JUL 2021,BUM,RAVI,63774
WrRE - Omah Lay - Understand - R - 0062L00000VPKrrQAH [USA],Understand,Omah Lay,63784
"(Brian Kelley - Sunburnt, Barefoot) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2",us,gnash,63794
(Zac Brown Band  Out In The Middle L) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA],Out in the Middle,Zac Brown Band,63804
(Zac Brown Band - Old Love Song Lyri) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Old Love Song,Zac Brown Band,63814
(Charlie Worsham - How To Play Half Drunk) WrNa - Warner Music Nashville - July Youtube Campaigns -  0062L00000VfHUyQAN - [USA],Half Drunk,Charlie Worsham,63824
(Chris Janson - Waitin' On 5 ) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Waitin' on 5,Chris Janson,63834
LATAM Laura Strada - Mejor Que Yo - N005818,Mejor Que Yo,Laura Strada,63844
(Cody Johnson - Stronger Lyric ) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Stronger,Cody Johnson,63854
(Cody Johnson - God Bless the Boy ) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,God Bless the Boy,Cody Johnson,63864
Rhno - Aretha Franklin - Boxset - eCom - M - 0062L00000VPJREQA5 - [United States] [Pre-Order],Rare,PJ,63874
[Shopping] Elektra: Q3 2021 Always On - Gojira,Efekt,Ektor,63884
Eltr - Dana Dentata - PANTYCHRIST - R - 0062L00000VfREiQAN - [USA],PANTYCHRIST,Dana Dentata,63894
Atln - Noa Kirel - Noa Kirel – Please Don’t Suck - R - 0062L00000VfMDaQAN [Official MV],Please Don't Suck,Noa Kirel,63904
Warner Music Canada: Maria Isabel - No Soy Para Ti - 0062L00000VfY6LQAV - [Canada],No Soy Para Ti,María Isabel,63914
WrRE - Priya Ragu - TBD single - R - 0062L00000VfPkIQAV,BFK,Ri,63924
WMAS: Q3 2021 Always On - Volbeat EU [SEARCH],Bye Bye,Sea,63934
WMAS: Q3 2021 Always On - Rage Against The Machine [SEARCH],21,Rage,63944
WMAS: Q3 2021 Always On - Jerry Cantrell [SEARCH],Eon,ANOTR,63954
WMAS: Q3 2021 Always On - Volbeat [SEARCH],Soon,Harc,63964
WMAS: Q3 2021 Always On - Underoath [SEARCH],Hero,Noah,63974
WMAS: Q3 2021 Always On - Girl In Red [SEARCH],Play,Mars,63984
WMAS: Q3 2021 Always On - Jon Bellion [SHOPPING],Run Away,LION,63994
WMAS: Q3 2021 Always On - Rage Against The Machine [SHOPPING],21,Rage,64004
WMAS: Q3 2021 Always On - Quinn XCII [SHOPPING],Happy Ending,Hopsin,64014
WMAS: Q3 2021 Always On - Highly Suspect [SHOPPING],Fly,Hopsin,64024
WMAS: Q3 2021 Always On - Alice In Chains [SHOPPING],poppin,Arlie,64034
WMAS: Q3 2021 Always On - Volbeat [SHOPPING],Hope,Beau,64044
WMAS: Q3 2021 Always On - AFI [SHOPPING],3 1/2,AFI,64054
WMAS: Q3 2021 Always On - Underoath [SHOPPING],Hero,Doro,64064
WMAS: Q3 2021 Always On - Alice In Chains [SEARCH],Woman,Alice,64074
WMAS: Q3 2021 Always On - System Of A Down [SEARCH],Soon,Harc,64084
WMAS: Q3 2021 Always On - Chelsea Cutler [SEARCH],Scar,CHE,64094
WMAS: Q3 2021 Always On - Korn [SEARCH],Soon,Harc,64104
WMAS: Q3 2021 Always On - Social Distortion [SEARCH],Sofia,Sofia,64114
WMAS: Q3 2021 Always On - Jon Bellion [SEARCH],LI,LINA,64124
WMAS: Q3 2021 Always On - Rage Against The Machine EU [SEARCH],21,Rage,64134
[Bulgaria] WrSE - Minelli - Rampampam - R - 0062L00000VfdloQAB,Rampampam,Minelli,64144
[Search - SUMMER HITS Playlist] WEA - [USA] Topsify 2021 - R - 0062L00000UEHsiQAH,Made It,Sirah,64154
WMAS: Q3 2021 Always On - Chelsea Cutler [SHOPPING],Lover,Sea,64164
WMAS: Q3 2021 Always On - Korn [SHOPPING],Play,Mars,64174
[Search - POP ROYALTY Playlist] WEA - [USA] Topsify 2021 - R - 0062L00000UEHsiQAH,Sweat,TY,64184
WrCa - OhGeesy - Secret Service - R - 0062L00000VfXsUQAV - [Canada],Secret Service,OhGeesy,64194
[Hungary] WrSE - Minelli - Rampampam - R - 0062L00000VfdloQAB,Rampampam,Minelli,64204
WrCa - IKKY - Koi Na [UK] - R - 0062L00000VfeTCQAZ - [UK],Etc.,ETC.,64214
[Croatia] WrSE - Minelli - Rampampam - R - 0062L00000VfdloQAB,Rampampam,Minelli,64224
[Slovenia] WrSE - Minelli - Rampampam - R - 0062L00000VfdloQAB #2,Rampampam,Minelli,64234
Warner Music Canada: IKKY - Koi Na (feat. NseeB) - 0062L00000VfUL8QAN - [Canada],The MUSIC BAND,War,64244
Atln - Gang51e June - Hood Interrogations - R - 0062L00000VfenHQAR,Hood Interrogation,Gang51e June,64254
WMAS: Q3 2021 Always On - AFI [SEARCH],3 1/2,AFI,64264
WMAS: Q3 2021 Always On - Quinn XCII [SEARCH],Play,Mars,64274
WMAS: Q3 2021 Always On - Highly Suspect [SEARCH],Soon,Harc,64284
WMAS: Q3 2021 Always On - Doctor Destruction [SEARCH],Soon,Harc,64294
WMAS: Q3 2021 Always On - Girl In Red [SHOPPING],My Girl,ALMA,64304
WMAS: Q3 2021 Always On - Doctor D [SHOPPING],Play,Mars,64314
WMAS: Q3 2021 Always On - Jerry Cantrell [SHOPPING],Howling,RY X,64324
WMAS: Q3 2021 Always On - System Of A Down  [SHOPPING],Dawn,Pring,64334
[Search - WEDDING SONGS] WEA - [USA] Topsify 2021 - R - 0062L00000UEHsiQAH,Love in Song,Wings,64344
Atlantic: Q3 2021 Always On - 1017 [Shopping],Happy Ending,Hopsin,64354
(Dan + Shay - Good Things OMV) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Good Things,Dan + Shay,64364
CATALOGUE - PL Hits de soirée - 230721 - Website traffic--Search-1,War,Tal,64374
Warner Music Canada - Montreal - Sia - 1+1 ft. Amir - R - 0062L00000Vfi2iQAB - [Funnel],1+1,Sia,64384
Atln - Lil Eazzyy - Spinnin - R - 0062L00000VfesbQAB - [USA],Spinnin,Lil Eazzyy,64394
Atln - Ben Platt - Ben Platt- Happy To Be Sad - R - 0062L00000VfgptQAB [United States],Happy To Be Sad,Ben Platt,64404
Atln - Mahalia - Whenever You're Ready - R - 0062L00000VfhLKQAZ,Whenever you’re Ready,Mahalia,64414
Atln - Catie Turner - Heartbroken and Milking it EP - R - 0062L00000Vf7RzQAJ - [USA],catie turner - traitor (Olivia Rodrigo mini cover) [heartbroken and milking it cover series],Catie Turner,64424
WrRE - 2KBABY - Zach & Cody (feat. DDG) - R - 0062L00000VPAFoQAP [USA],Zack & Cody (feat. DDG),2KBABY,64434
WrRE - Anne-Marie - All The Hits - R - 0062L00000VfnktQAB,2002,Anne-Marie,64444
BgBt - Galantis - Heartbreak Anthem (Tchami Remix) - R - 0062L00000VfjTpQAJ - [USA],Heartbreak Anthem,Galantis,64454
Eltr - Against The Current - Again And Again - R - 0062L00000VOM2xQAH,Rain,The Corrs,64464
(Troy Cartwright - Shine On Me (Memory)WrNa -Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Shine On Me,Troy Cartwright,64474
(Brian Kelley - Boat Ride) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Boat Ride,Brian Kelley,64484
(Cole Swindell - Single Saturday Night (live)) WrNa - Warner Music Nashville -  - 0062L00000VfHUyQAN - [USA] #2,Single Saturday Night,Cole Swindell,64494
(Zac Brown Band - Same Boat(concept)) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Same Boat,Zac Brown Band,64504
(Walker County - Someone's Someone (Live)WrNa-Warner Music Nashville -July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Someone's Someone,Walker County,64514
Atlantic Records: The War On Drugs - [Single + Album Pre-order] - 0062L00000VfWjQQAV - [USA],The Ark,The Ark,64524
(Ian Munsick - Solo (Stripped) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Solo,Ian Munsick,64534
(Cody Johnson - Til You Can't (Live ))WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,'Til You Can't,Cody Johnson,64544
(Robyn Ottolini - Good Shit (Loft Sessions)) WrNa - Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN -,GO,ION,64554
(Charlie Worsham (Believe In Love Live)WrNa -Warner Music Nashville - July Youtube Campaigns - R - 0062L00000VfHUyQAN - [USA] #2,Believe in Love,Charlie Worsham,64564
WMAS: Q3 2021 Always On - Jennifer Lopez [SHOPPING],Papi,Jennifer Lopez,64574
WMAS: Q3 2021 Always On - Jennifer Lopez [SEARCH],Life,Feral,64584
WrRE - Master KG - Shine Your Light - R - 0062L00000VOb9FQAT [United States],Unité,Unité,64594
Atln - Coldplay - Higher Power [Phase II] + Overtura - R - 0062L00000VOwqnQAD [USA],Overtura,Coldplay,64604
[SC] Anne-Marie - Therapy - PO - JUL 2021,Therapy,Anne-Marie,64614
Atln - Noa Kirel - Noa Kirel – Please Don’t Suck - R - 0062L00000VfMDaQAN,Please Don't Suck,Noa Kirel,64624
WrCa - Brandi Carlile - Right On Time - R - 0062L00000VfrQGQAZ [Canada],Right On Time,Brandi Carlile,64634
WrIe - Iron Maiden - Writing On The Walll - R - 0062L00000VfimMQAR [Ireland],The Writing On The Wall,Iron Maiden,64644
Eltr - Turnstile - ALIEN LOVE CALL feat. Blood Orange - R - 0062L00000VfbMJQAZ,Love,Loods,64654
WrRE - Mallory Merk - Mallory Merk – Are You Gonna Be My Girl? - R - 0062L00000VfoKMQAZ [United States],Are You Gonna Be My Girl,Mallory Merk,64664
Neon Gold Records - Zeph - Single #1 - R - 0062L00000UISqVQAX [USA],Doe Dit,Cor,64674
Atln - Jasiah - WORLD $TAR - R - 0062L00000Vfv9YQAR - [USA],Worldstar,Jasiah,64684
WrRE - David Guetta - If You've Ever Loved Me - R - 0062L00000VfAcvQAF,One Love,David Guetta,64694
Charlie Rodd Ni Modo,Ni Modo,Charlie Rodd,64704
Big Beat Records: Rudimental - So Sorry - 0062L00000VfnryQAB - [USA],Breathe,Rudimental,64714
[Trueview - Summer Hits 2021] WEA - [USA] Topsify 2021 - R - 0062L00000UEHsiQAH,Meet Piso 21,Topsify,64724
[Croatia] WrSE - Dua Lipa - Love Again - R - 0062L00000VfdpCQAR #4,Love Again,Dua Lipa,64734
[Serbia] WrSE - Dua Lipa - Love Again - R - 0062L00000VfdpCQAR #4,Love Again,Dua Lipa,64744
[Bosnia] WrSE - Dua Lipa - Love Again - R - 0062L00000VfdpCQAR #4,Love Again,Dua Lipa,64754
[Macedonia] WrSE - Dua Lipa - Love Again - R - 0062L00000VfdpCQAR #3,Love Again,Dua Lipa,64764
[Hungary] WrSE - Dua Lipa - Love Again - R - 0062L00000VfdpCQAR #3,Love Again,Dua Lipa,64774
[Montenegro] WrSE - Dua Lipa - Love Again - R - 0062L00000VfdpCQAR #3,Love Again,Dua Lipa,64784
[Slovenia] WrSE - Dua Lipa - Love Again - R - 0062L00000VfdpCQAR #3,Love Again,Dua Lipa,64794
WrSE - Masked Wolf - Say So - R - 0062L00000VfdsfQAB (Croatia),Say So,Masked Wolf,64804
WrSE - Masked Wolf - Say So - R - 0062L00000VfdsfQAB (Romania),Say So,Masked Wolf,64814
WrSE - Masked Wolf - Say So - R - 0062L00000VfdsfQAB (Serbia),Say So,Masked Wolf,64824
WrSE - Masked Wolf - Say So - R - 0062L00000VfdsfQAB (Slovenia),Say So,Masked Wolf,64834
[Bulgaria] WrSE - Dua Lipa - Love Again - R - 0062L00000VfdpCQAR #2,Love Again,Dua Lipa,64844
[Singapore] WrAR - Various Artists - ISSA RAP Playlist - R - 0062L00000VfrE0QAJ (Google Display),Go,Various Artists,64854
[Malaysia] WrAR - Various Artists - ISSA RAP Playlist - R - 0062L00000VfrE0QAJ (Google Display),Go,Various Artists,64864
[Indonesia] WrAR - Various Artists - ISSA RAP Playlist - R - 0062L00000VfrE0QAJ (Google Display),Go,Various Artists,64874
[Hong Kong] WrAR - Various Artists - ISSA RAP Playlist - R - 0062L00000VfrE0QAJ (Google Display),Hong,RA,64884
N005821 - Ovy On The Drums- Te Extraño - LATAM,Try,The Drums,64894
[Romania] WrSE - Dua Lipa - Love Again - R - 0062L00000VfdpCQAR #2,Love Again,Dua Lipa,64904
[Singapore] WrAR - Various Artists - ISSA RAP Playlist - R - 0062L00000VfrE0QAJ [Youtube Display],Lust,Various Artists,64914
[Thailand] WrAR - Various Artists - ISSA RAP Playlist - R - 0062L00000VfrE0QAJ [Youtube Display],Lust,Various Artists,64924
[Malaysia] WrAR - Various Artists - ISSA RAP Playlist - R - 0062L00000VfrE0QAJ [Youtube Display],Lust,Various Artists,64934
[Taiwan] WrAR - Various Artists - ISSA RAP Playlist - R - 0062L00000VfrE0QAJ [Youtube Display],Lust,Various Artists,64944
[Vietnam] WrAR - Various Artists - ISSA RAP Playlist - R - 0062L00000VfrE0QAJ [Youtube Display],Lust,Various Artists,64954
WrSE - Masked Wolf - Say So - R - 0062L00000VfdsfQAB (Bulgaria),Say So,Masked Wolf,64964
WrSE - Masked Wolf - Say So - R - 0062L00000VfdsfQAB (Hungary),Say So,Masked Wolf,64974
[Hong Kong] WrAR - Various Artists - ISSA RAP Playlist - R - 0062L00000VfrE0QAJ [Youtube Display],Hong,RA,64984
WrAu - Master KG - Shine Your Light [Phase 2] - R - 0062L00000VfuUpQAJ [Australia],Sterkh,Alisa,64994
[Thailand] WrAR - Various Artists - ISSA RAP Playlist - R - 0062L00000VfrE0QAJ (Google Display),Go,Various Artists,65004
[Vietnam] WrAR - Various Artists - ISSA RAP Playlist - R - 0062L00000VfrE0QAJ (Google Display),Go,Various Artists,65014
[Taiwan] WrAR - Various Artists - ISSA RAP Playlist - R - 0062L00000VfrE0QAJ (Google Display),Go,Various Artists,65024
Atln - Atlantic Chill [Q3 2021 pt.2 - R - 0062L00000VfLvIQAV,Lan,Tai Chi,65034
WrCa - Barenaked Ladies - Good Life - R - 0062L00000VfgfnQAB [Phase 2] [Canada],Good Life,Barenaked Ladies,65044
[Indonesia] WrAR - Various Artists - ISSA RAP Playlist - R - 0062L00000VfrE0QAJ [Youtube Display],Lust,Various Artists,65054
HI - VV - David Guetta - If You Really Love Me BE:PO537004,How To Love,ALLY,65064
Master KG - Shine Your Light - Video_Youtube_Instream Ad & Discovery Ad_awareness,In Your Eyes,WAR,65074
Warner Music Ireland: Anne-Marie - Therapy - 0062L00000VftJWQAZ - [Ireland],Therapy,Anne-Marie,65084
WrHK - Young Hysan - Radiance [Remix Album] - R - 0062L00000Vg0YzQAJ - Radiance,Radiance,Young Hysan,65094
WrHK - Young Hysan - Radiance [Remix Album] - R - 0062L00000Vg0YzQAJ - Lost & Found,Lost & Found,Young Hysan,65104
WrRE - Joshua Speers - Just Kids - R - 0062L00000VfviiQAB [United States],Just Kids,Joshua Speers,65114
WrCa - Aaron Goodvin - Boy Like Me - R - 0062L00000VfwsoQAB [Canada],Boy Like Me,Aaron Goodvin,65124
Atln - Coldplay - Higher Power [Phase II] + Coloratura Lyric Video - R - 0062L00000VOwqnQAD [USA],Coloratura,Coldplay,65134
WrHK - Young Hysan - Radiance [Remix Album] - R - 0062L00000Vg0YzQAJ - Redemption,Radiance,Young Hysan,65144
Atln - Bizzy Banks - Same Energy - R - 0062L00000VfaqhQAB [United States],Neo,Bizzy Banks,65154
Kali - MMM MMM #2_Youtube_Instream Ad & Discovery Ad_awareness,Mmm mmm,Kali,65164
Eltr - Sebastian Javier - Crystal Ball [English Version] - R - 0062L00000VfKbRQAV [United States],Crystal Ball,Sebastian Javier,65174
Eltr - Sebastian Javier - Crystal Ball [English Version] - R - 0062L00000VfKbRQAV [Mexico],Crystal Ball,Sebastian Javier,65184
Atln - Ben Abraham - Requiem - R - 0062L00000VNyeRQAT [USA],Requiem,Ben Abraham,65194
Salma Mala,Mama,ALMA,65204
[India] WrWW - Jamie Miller - Jamie Miller TT - R - 0062L00000VfjL2QAJ,INDICA,INDICA,65214
Atln - Ava Max - Everytime I Cry - R - 0062L00000Vf7G8QAJ - [USA],Every Time I Cry,Ava Max,65224
[Flight 2] Atln - Faouzia - Atlantic: Faouzia - Hero [Single+ Music Video] - R - 0062L00000VOm2kQAD [United States],Hero,Faouzia,65234
WrHK - Young Hysan - Radiance [Remix Album] - R - 0062L00000Vg0YzQAJ - Foreign,Radiance,Young Hysan,65244
WrRE - Smiley - Over The Top (feat. Drake) - R - 0062L00000VfsVWQAZ [United States],Over The Top,Smiley,65254
Wilhelmine - Feuervogel_Youtube_Instream Ad & Discovery Ad_clicks,Feuervogel,Wilhelmine,65264
(Tyler Braden - Ways To Miss You (Gravel Drive Sounds))WrNa - Warner Music Nashville -R - 0062L00000VfHUyQAN - USA,Ways To Miss You,Tyler Braden,65274
(Temecula Road - Neon Moon))WrNa - Warner Music Nashville -R - 0062L00000VfHUyQAN - USA,Neon Moon,Temecula Road,65284
Atln - Sam Austins - Kilos (Performance Visual) - R - 0062L00000VfvNkQAJ  [USA],Kilos,Sam Austins,65294
WrCa - Galantis - Heartbreak Anthem [Re-Spend] - R - 0062L00000Vfwx5QAB [Canada],Heartbreak Anthem,Galantis,65304
"Atln - Childish Major - Thank You, God. For it all. - R - 0062L00000VfdMeQAJ [USA]","Thank You, God. For It All",Childish Major,65314
(Cole Swindell - Ain't Worth The Whiskey Live)WrNa - Warner Music Nashville -R - 0062L00000VfHUyQAN - USA #2,Ain't Worth The Whiskey,Cole Swindell,65324
(Brian Kelley - Florida Boy Forever))WrNa - Warner Music Nashville -R - 0062L00000VfHUyQAN - USA #2,Florida Boy Forever,Brian Kelley,65334
WrAu - Day1 - Day Uno [EP Trailer] - R - 0062L00000VfzJjQAJ [Australia],Day Uno,Day1,65344
WrRE - Anne-Marie - Therapy - R - 0062L00000VfKZuQAN [Our Song] [United States],Therapy,Anne-Marie,65354
WrRE - Anne-Marie - Therapy - R - 0062L00000VfKZuQAN [Kiss My] [United States],Therapy,Anne-Marie,65364
Minelli_Rampampam_Youtube_InStream Ad_awareness,Rampampam,Minelli,65374
Anne-Marie - Therapy (Out Now)_Youtube_Instream Ad & Discovery Ad_awareness,Therapy,Anne-Marie,65384
Ava Max - EveryTime I Cry (Official Video)_Youtube_Instream Ad & Discovery Ad_awareness,Every Time I Cry,Ava Max,65394
Atln - Brynn Elliott - Can I Be Real EP - R - 0062L00000Vf7QSQAZ [USA],Can I Be Real?,Brynn Elliott,65404
[VD] Marta Soto - Me Crecen Las Flores - SGL - JUL 2021,Me crecen las flores,Marta Soto,65414
[VD] Vic Mirallas - Todo Lo Que Tengo - SGL - JUL 2021,Todo lo que tengo,Vic Mirallas,65424
[TV] Anne-Marie - Kiss My - SGL - JUL 2021,2002,Anne-Marie,65434
WrCa - Jamie Miller - Here's Your Perfect - R - 0062L00000Vg7OyQAJ [Canada],Here’s Your Perfect,Jamie Miller,65444
ADA - Angel + Dren - Angel + Dren - Nirvana - R - 0062L00000Vg02LQAR,Angel,angela,65454
WrAu - Brandi Carlile - Right On Time + Album Announce - R - 0062L00000VftObQAJ [Australia],Right On Time,Brandi Carlile,65464
Rhno - Grateful Dead - St Louis [eCom] - M - 0062L00000Vg2ErQAJ - [US],Us,Grace,65474
2021 - A7S - Nirvana,Nirvana,A7S,65484
Eltr - Brandi Carlile - Right On Time + Album Announce - R - 0062L00000VfZbCQAV - [USA],Right On Time,Brandi Carlile,65494
Atln - SK8 - Girl Next Door - R - 0062L00000VfxV2QAJ,Girl Next Door,SK8,65504
WrCa - Anne-Marie - Therapy - R - 0062L00000Vfme7QAB,Therapy,Anne-Marie,65514
Atln - EBEN - Atlantic: EBEN - 'Jenny' + Movie - R - 0062L00000VOm2uQAD - USA,Jenny,EBEN,65524
Atln - Fred again.. - Angie [MV] - R - 0062L00000Vg7HxQAJ,Anti,Fard,65534
Eltr - Turnstile - Blackout - R - 0062L00000Vg3NkQAJ,BLACKOUT,Turnstile,65544
(Dogs Dont Lie video) WrRE - IDK - USEE4YOURSELF - R - 0062L00000VPCKkQAP - [USA],USEE4YOURSELF,IDK,65554
Anne-Marie Kiss My Single,My riga,Ri,65564
N005884 - Danny Ocean - Apartamento - Latam,Apartamento,Danny Ocean,65574
N005894 - Sofia Reyes - Casualidad Acoustic Video - LATAM,Solitaire,Yes,65584
HI - VV - Robin Schulz - Somewhere Over The Rainbow  BE:PO536516,Parano,SCH,65594
Trueview | Bruno Cesar e Rodrigo Reys -  Sofrimento Sério,Sofrimento Sério,Bruno César e Rodrigo Reys,65604
Carlos Dante - Clip Los Santos,Los Santos,Carlos Dante,65614
