index,entry,combineScore
698.0,<entry1>  Neil Young Barn Album_Facebook_Promoted Post_awareness  <entry2> <artistName>  Face  <trackName>  Burn,0.875
704.0,<entry1>  Neil Young Barn Album_Facebook_Promoted Post_awareness  <entry2> <artistName>  Face  <trackName>  Devil,0.8
709.0,<entry1>  Led Zeppelin_IV_50_Spotify_Instagram_Story Ad_clicks  <entry2> <artistName>  Led Zeppelin  <trackName>  Moby Dick,0.72
712.0,<entry1>  Led Zeppelin_IV_50_Spotify_Instagram_Story Ad_clicks  <entry2> <artistName>  Led Zeppelin  <trackName>  Four Sticks,0.725
715.0,<entry1>  Led Zeppelin_IV_50_Spotify_Instagram_Story Ad_clicks  <entry2> <artistName>  Led Zeppelin  <trackName>  This is Spotify Landmark,0.69
724.0,<entry1>  Robert Plant Alison Krauss Raise Album Pre Order_Instagram_Feed Ad_awareness3  <entry2> <artistName>  Robert Plant  <trackName>  Red Dress,0.72
725.0,<entry1>  Robert Plant Alison Krauss Raise Album Pre Order_Instagram_Feed Ad_awareness3  <entry2> <artistName>  Robert Plant  <trackName>  A Stolen Kiss,0.77
732.0,<entry1>  Robert Plant Alison Krauss Raise Album Pre Order_Instagram_Story Ad_awareness3  <entry2> <artistName>  Robert Plant  <trackName>  Operator,0.81
733.0,<entry1>  Robert Plant Alison Krauss Raise Album Pre Order_Instagram_Story Ad_awareness3  <entry2> <artistName>  Robert Plant  <trackName>  Red Dress,0.72
735.0,<entry1>  Robert Plant Alison Krauss Raise Album Pre Order_Instagram_Story Ad_awareness3  <entry2> <artistName>  Robert Plant  <trackName>  A Stolen Kiss,0.77
737.0,<entry1>  Clean_Bandit Drive_Instagram_Spotify_Story Ad_clicks  <entry2> <artistName>  Clean Bandit  <trackName>  Clean Bandit,0.92
738.0,"<entry1>  Clean_Bandit Drive_Instagram_Spotify_Story Ad_clicks  <entry2> <artistName>  Clean Bandit, CYA  <trackName>  Clean Bandit",0.815
739.0,<entry1>  Clean_Bandit Drive_Instagram_Spotify_Story Ad_clicks  <entry2> <artistName>  Clean Bandit  <trackName>  Clean Bandit Universe,0.815
740.0,"<entry1>  Clean_Bandit Drive_Instagram_Spotify_Story Ad_clicks  <entry2> <artistName>  Clean Bandit, CYA  <trackName>  Clean Bandit Universe",0.71
741.0,<entry1>  Clean_Bandit Drive_Instagram_Spotify_Story Ad_clicks  <entry2> <artistName>  Ban  <trackName>  Intro,0.8
742.0,<entry1>  Clean_Bandit Drive_Instagram_Spotify_Story Ad_clicks  <entry2> <artistName>  Clean Bandit  <trackName>  Clean Bandit: Top 3 Tracks,0.73
746.0,<entry1>  Clean_Bandit Drive_Instagram_Spotify_Story Ad_clicks  <entry2> <artistName>  Clean Bandit  <trackName>  Cologne,0.675
751.0,<entry1>  Robert Plant Alison Krauss Raise Album Pre Order_Facebook_Promoted Post_awareness  <entry2> <artistName>  Robert Plant  <trackName>  Red Dress,0.72
753.0,<entry1>  Robert Plant Alison Krauss Raise Album Pre Order_Facebook_Promoted Post_awareness  <entry2> <artistName>  Robert Plant  <trackName>  Far Post,0.81
756.0,<entry1>  Robert Plant Alison Krauss Raise Album Pre Order_Facebook_Promoted Post_awareness  <entry2> <artistName>  Robert Plant  <trackName>  A Stolen Kiss,0.77
759.0,<entry1>  ANI - Tyttö sä oot tähti - teaser -  IGS  <entry2> <artistName>  ANI  <trackName>  Odota,0.7
771.0,<entry1>  Karl Killing - friday nights-EE-WMB  <entry2> <artistName>  illion  <trackName>  Illion - Banka,0.7
779.0,<entry1>  Avril Lavine - Bite Me -WMB  <entry2> <artistName>  Avril Lavigne  <trackName>  Imagine,0.745
781.0,<entry1>  Avril Lavine - Bite Me -WMB  <entry2> <artistName>  Avril Lavigne  <trackName>  Don't Tell Me,0.6900000000000001
786.0,<entry1>  Avril Lavine - Bite Me -WMB  <entry2> <artistName>  Avril Lavigne  <trackName>  Bright,0.71
791.0,<entry1>  Karl Killing - friday nights-IGS-EE-WMB  <entry2> <artistName>  illion  <trackName>  Illion - Banka,0.7
800.0,<entry1>  Ilta - Taivas maan päällä - teaser - IGS  <entry2> <artistName>  Ilta  <trackName>  All I Ask,0.72
801.0,<entry1>  Ilta - Taivas maan päällä - teaser - IGS  <entry2> <artistName>  Ilta  <trackName>  Älä tuijota,0.725
805.0,<entry1>  Ilta - Taivas maan päällä - teaser - IGS  <entry2> <artistName>  Ilta  <trackName>  Taivas sylissäni,0.75
807.0,<entry1>  LIVE: Ilta - Joulukiertue (Hyvinkää)  <entry2> <artistName>  Ilta  <trackName>  Oi jouluyö,0.75
808.0,<entry1>  LIVE: Ilta - Joulukiertue (Hyvinkää)  <entry2> <artistName>  Ilta  <trackName>  River Lea,0.72
809.0,<entry1>  LIVE: Ilta - Joulukiertue (Hyvinkää)  <entry2> <artistName>  Ilta  <trackName>  Jouluksi kotiin,0.765
810.0,<entry1>  LIVE: Ilta - Joulukiertue (Hyvinkää)  <entry2> <artistName>  Ilta  <trackName>  Muurit,0.75
819.0,<entry1>  LIVE: Ilta - Joulukiertue (Savonlinna)  <entry2> <artistName>  Inna  <trackName>  July,0.75
821.0,<entry1>  LIVE: Ilta - Joulukiertue (Savonlinna)  <entry2> <artistName>  LINA  <trackName>  LI,0.75
826.0,<entry1>  LIVE: Ilta - Joulukiertue (Savonlinna)  <entry2> <artistName>  Ilta  <trackName>  Oi jouluyö,0.75
827.0,<entry1>  LIVE: Ilta - Joulukiertue (Joensuu)  <entry2> <artistName>  Soen  <trackName>  Virtue,0.79
828.0,<entry1>  LIVE: Ilta - Joulukiertue (Joensuu)  <entry2> <artistName>  Ilta  <trackName>  Oi jouluyö,0.75
830.0,<entry1>  LIVE: Ilta - Joulukiertue (Joensuu)  <entry2> <artistName>  Ilta  <trackName>  River Lea,0.72
831.0,<entry1>  LIVE: Ilta - Joulukiertue (Joensuu)  <entry2> <artistName>  Ilta  <trackName>  Jouluksi kotiin,0.765
833.0,<entry1>  LIVE: Ilta - Joulukiertue (Joensuu)  <entry2> <artistName>  Joe  <trackName>  Lean Into It,0.71
835.0,<entry1>  LIVE: Ilta - Joulukiertue (Joensuu)  <entry2> <artistName>  Ilta  <trackName>  Jään sun luo,0.75
839.0,<entry1>  LIVE: Erin - 10 vuotta hunningolla (Helsinki)  <entry2> <artistName>  Erin  <trackName>  Kohta hänen,0.8200000000000001
840.0,<entry1>  LIVE: Erin - 10 vuotta hunningolla (Helsinki)  <entry2> <artistName>  Erin  <trackName>  Vanha nainen hunningolla,0.77
843.0,<entry1>  LIVE: Erin - 10 vuotta hunningolla (Helsinki)  <entry2> <artistName>  Erin  <trackName>  On elämä laina (Alasti-klubi),0.725
848.0,<entry1>  LIVE: Vesala - 40-juhlakiertue (Tampere)  <entry2> <artistName>  Vesna  <trackName>  Vesna 2,0.755
849.0,<entry1>  LIVE: Vesala - 40-juhlakiertue (Tampere)  <entry2> <artistName>  Vesna  <trackName>  Vesna 1,0.755
853.0,<entry1>  LIVE: Vesala - 40-juhlakiertue (Tampere)  <entry2> <artistName>  Vesala  <trackName>  Monta nimee,0.6799999999999999
855.0,<entry1>  LIVE: Vesala - 40-juhlakiertue (Tampere)  <entry2> <artistName>  Vesala  <trackName>  Tarkenee,0.75
860.0,<entry1>  Ilta - Taivas maan päällä  - teaser - FB  <entry2> <artistName>  Ilta  <trackName>  Älä tuijota,0.725
863.0,<entry1>  Ilta - Taivas maan päällä  - teaser - FB  <entry2> <artistName>  Ilta  <trackName>  Taivas sylissäni,0.75
864.0,<entry1>  Ilta - Taivas maan päällä  - teaser - FB  <entry2> <artistName>  Ilta  <trackName>  Voimanainen,0.6799999999999999
865.0,<entry1>  Ilta - Taivas maan päällä  - teaser - FB  <entry2> <artistName>  Ilta  <trackName>  Anna tuulla vaan,0.72
868.0,<entry1>  Miss Caffeina - POR SI - SGL- NOV 2021  <entry2> <artistName>  Caffeine  <trackName>  Missed Call,0.76
869.0,<entry1>  Miss Caffeina - POR SI - SGL- NOV 2021  <entry2> <artistName>  Miss Caffeina  <trackName>  19,0.835
870.0,<entry1>  Miss Caffeina - POR SI - SGL- NOV 2021  <entry2> <artistName>  210  <trackName>  210,0.8
872.0,<entry1>  Miss Caffeina - POR SI - SGL- NOV 2021  <entry2> <artistName>  Caffeine   <trackName>  Missed Call,0.71
879.0,<entry1>  Vanesa Martín - 7 veces si - PO - NOV 2021  <entry2> <artistName>  210  <trackName>  210,0.8
882.0,<entry1>  Vanesa Martín - 7 veces si - PO - NOV 2021  <entry2> <artistName>  Vanesa Martín  <trackName>  Es tan necesario,0.72
888.0,<entry1>  Gen Dro Cine (Rosendo) - EVENTO - NOV 2021  <entry2> <artistName>  210  <trackName>  210,0.8
890.0,<entry1>  Gen Dro Cine (Rosendo) - EVENTO - NOV 2021  <entry2> <artistName>  Rosendo  <trackName>  En el chino,0.725
891.0,<entry1>  Gen Dro Cine (Rosendo) - EVENTO - NOV 2021  <entry2> <artistName>  Rosendo  <trackName>  Ven y ve,0.75
892.0,<entry1>  Gen Dro Cine (Rosendo) - EVENTO - NOV 2021  <entry2> <artistName>  Rosendo  <trackName>  El Uno Por Cien,0.7
893.0,<entry1>  Gen Dro Cine (Rosendo) - EVENTO - NOV 2021  <entry2> <artistName>  Rosendo  <trackName>  En Agua Caliente,0.69
895.0,<entry1>  Gen Dro Cine (Rosendo) - EVENTO - NOV 2021  <entry2> <artistName>  Rosendo  <trackName>  Menu De La Cuneta,0.675
896.0,<entry1>  Gen Dro Cine (Rosendo) - EVENTO - NOV 2021  <entry2> <artistName>  Rosendo  <trackName>  Unos Golpes De Cincel,0.69
898.0,<entry1>  Gen Dro Cine (General) - EVENTO - NOV 2021  <entry2> <artistName>  210  <trackName>  210,0.8
904.0,<entry1>  Gen Dro Cine (General) - EVENTO - NOV 2021  <entry2> <artistName>  General B  <trackName>  Profile,0.73
907.0,<entry1>  Extremoduro - No quiero ser como tu - ALB - NOV 2021  <entry2> <artistName>  210  <trackName>  210,0.8
912.0,<entry1>  Extremoduro - No quiero ser como tu - ALB - NOV 2021  <entry2> <artistName>  Extremoduro  <trackName>  Amor Castuo - Live,0.75
914.0,<entry1>  Extremoduro - No quiero ser como tu - ALB - NOV 2021  <entry2> <artistName>  Extremoduro  <trackName>  Buitre no come alpiste,0.725
915.0,<entry1>  Extremoduro - No quiero ser como tu - ALB - NOV 2021  <entry2> <artistName>  Extremoduro  <trackName>  Prometeo,0.69
916.0,<entry1>  Extremoduro - No quiero ser como tu - ALB - NOV 2021  <entry2> <artistName>  Extremoduro  <trackName>  Islero Shirlero O Ladron,0.71
921.0,<entry1>  2556 | WMA ADS | MA | FLEETWOOD MAC | PODCAST AD | TBC__Video views  <entry2> <artistName>  WOODZ  <trackName>  Tide,0.775
927.0,<entry1>  [Phase 2 - Clicks] WrAu - The Black Keys - El Camino 10th Anniversary - P1 - R - 0062L00000VISeqQAH [FB/IG/IGS - Australia]  <entry2> <artistName>  The Anniversary  <trackName>  Kali,0.81
929.0,<entry1>  [Phase 2 - Clicks] WrAu - The Black Keys - El Camino 10th Anniversary - P1 - R - 0062L00000VISeqQAH [FB/IG/IGS - Australia]  <entry2> <artistName>  The Anniversary  <trackName>  Che,0.77
931.0,<entry1>  [Phase 2 - Clicks] WrAu - The Black Keys - El Camino 10th Anniversary - P1 - R - 0062L00000VISeqQAH [FB/IG/IGS - Australia]  <entry2> <artistName>  The Black Keys  <trackName>  I'm Not The One,0.7
932.0,<entry1>  [Phase 2 - Clicks] WrAu - The Black Keys - El Camino 10th Anniversary - P1 - R - 0062L00000VISeqQAH [FB/IG/IGS - Australia]  <entry2> <artistName>  Blako  <trackName>  Pain,0.775
933.0,<entry1>  [Phase 2 - Clicks] WrAu - The Black Keys - El Camino 10th Anniversary - P1 - R - 0062L00000VISeqQAH [FB/IG/IGS - Australia]  <entry2> <artistName>  The Black Keys  <trackName>  Fever,0.8
934.0,<entry1>  [Phase 2 - Clicks] WrAu - The Black Keys - El Camino 10th Anniversary - P1 - R - 0062L00000VISeqQAH [FB/IG/IGS - Australia]  <entry2> <artistName>  The Black Keys  <trackName>  In Time,0.715
935.0,<entry1>  [Phase 2 - Clicks] WrAu - The Black Keys - El Camino 10th Anniversary - P1 - R - 0062L00000VISeqQAH [FB/IG/IGS - Australia]  <entry2> <artistName>  Black M  <trackName>  Te amo,0.6799999999999999
936.0,<entry1>  [Phase 2 - Clicks] WrAu - The Black Keys - El Camino 10th Anniversary - P1 - R - 0062L00000VISeqQAH [FB/IG/IGS - Australia]  <entry2> <artistName>  The Anniversary  <trackName>  Lover,0.735
937.0,<entry1>  [Phase 2 - Thruplays] WrAu - The Black Keys - El Camino 10th Anniversary - P1 - R - 0062L00000VISeqQAH [FB/IG/IGS - Australia]  <entry2> <artistName>  The Anniversary  <trackName>  Kali,0.81
940.0,<entry1>  [Phase 2 - Thruplays] WrAu - The Black Keys - El Camino 10th Anniversary - P1 - R - 0062L00000VISeqQAH [FB/IG/IGS - Australia]  <entry2> <artistName>  The Anniversary  <trackName>  Che,0.77
942.0,<entry1>  [Phase 2 - Thruplays] WrAu - The Black Keys - El Camino 10th Anniversary - P1 - R - 0062L00000VISeqQAH [FB/IG/IGS - Australia]  <entry2> <artistName>  The Black Keys  <trackName>  I'm Not The One,0.7
943.0,<entry1>  [Phase 2 - Thruplays] WrAu - The Black Keys - El Camino 10th Anniversary - P1 - R - 0062L00000VISeqQAH [FB/IG/IGS - Australia]  <entry2> <artistName>  The Black Keys  <trackName>  Fever,0.8
944.0,<entry1>  [Phase 2 - Thruplays] WrAu - The Black Keys - El Camino 10th Anniversary - P1 - R - 0062L00000VISeqQAH [FB/IG/IGS - Australia]  <entry2> <artistName>  The Black Keys  <trackName>  In Time,0.715
945.0,<entry1>  [Phase 2 - Thruplays] WrAu - The Black Keys - El Camino 10th Anniversary - P1 - R - 0062L00000VISeqQAH [FB/IG/IGS - Australia]  <entry2> <artistName>  Black M  <trackName>  Te amo,0.6799999999999999
946.0,<entry1>  [Phase 2 - Thruplays] WrAu - The Black Keys - El Camino 10th Anniversary - P1 - R - 0062L00000VISeqQAH [FB/IG/IGS - Australia]  <entry2> <artistName>  The Anniversary  <trackName>  Lover,0.735
957.0,<entry1>  Tiesto - The Motto - Drive Traffic To Website  <entry2> <artistName>  Tiësto  <trackName>  Traffic,0.915
971.0,<entry1>  Bbenson Boone - Drive Traffic To Website  <entry2> <artistName>  Bebe  <trackName>  Borrones,0.685
976.0,<entry1>  Bbenson Boone - Drive Traffic To Website  <entry2> <artistName>  Babe  <trackName>  Dizel,0.675
978.0,<entry1>  2614 | WMA ads | HW | The Walters | I Love You So | P067968  <entry2> <artistName>  The Harters  <trackName>  I Owe You,0.745
979.0,<entry1>  2614 | WMA ads | HW | The Walters | I Love You So | P067968  <entry2> <artistName>  Walter  <trackName>  I M Y,0.7
980.0,<entry1>  2614 | WMA ads | HW | The Walters | I Love You So | P067968  <entry2> <artistName>  Walter  <trackName>  Alone,0.7
981.0,<entry1>  2614 | WMA ads | HW | The Walters | I Love You So | P067968  <entry2> <artistName>  Hale  <trackName>  Waltz,0.775
982.0,<entry1>  2614 | WMA ads | HW | The Walters | I Love You So | P067968  <entry2> <artistName>  The Waterboys  <trackName>  The Waves,0.775
984.0,<entry1>  2614 | WMA ads | HW | The Walters | I Love You So | P067968  <entry2> <artistName>  The Dualers  <trackName>  7,0.9099999999999999
985.0,<entry1>  2614 | WMA ads | HW | The Walters | I Love You So | P067968  <entry2> <artistName>  The Hatters  <trackName>  Love is Love,0.7
986.0,<entry1>  2614 | WMA ads | HW | The Walters | I Love You So | P067968  <entry2> <artistName>  The Waterboys  <trackName>  The Ladder,0.735
989.0,<entry1>  Eltr - Trivium - The Phalanx - P1 - R - 0062L00000VfZb7QAF [Artist Targeting]  <entry2> <artistName>  Artes  <trackName>  3000,0.775
990.0,<entry1>  Eltr - Trivium - The Phalanx - P1 - R - 0062L00000VfZb7QAF [Artist Targeting]  <entry2> <artistName>  Arisa  <trackName>  Aria,0.775
991.0,<entry1>  Eltr - Trivium - The Phalanx - P1 - R - 0062L00000VfZb7QAF [Artist Targeting]  <entry2> <artistName>  Trivium  <trackName>  Sever The Hand,0.75
993.0,<entry1>  Eltr - Trivium - The Phalanx - P1 - R - 0062L00000VfZb7QAF [Artist Targeting]  <entry2> <artistName>  Trivium  <trackName>  The Defiant,0.775
995.0,<entry1>  Eltr - Trivium - The Phalanx - P1 - R - 0062L00000VfZb7QAF [Artist Targeting]  <entry2> <artistName>  Trivium  <trackName>  To The Rats,0.775
